roi_label,roi_name,x,y,z
230,7Networks_LH_DorsAttn_PrCv_1,-51.2057,5.6738,27.0922
231,7Networks_LH_DorsAttn_PrCv_2,-54.5455,6.5974,34.9091
232,7Networks_LH_DorsAttn_PrCv_3,-41.4583,2.4167,31.2083
233,7Networks_LH_DorsAttn_PrCv_4,-49.1970,1.6667,38.9091
234,7Networks_LH_SalVentAttn_ParOper_1,-46.9027,-38.8673,23.4159
235,7Networks_LH_SalVentAttn_ParOper_2,-58.6968,-44.8903,22.8000
236,7Networks_LH_SalVentAttn_ParOper_3,-59.9574,-24.6099,20.1702
237,7Networks_LH_SalVentAttn_ParOper_4,-53.3846,-41.1868,30.0659
238,7Networks_LH_SalVentAttn_ParOper_5,-58.1885,-31.6754,23.5183
239,7Networks_LH_SalVentAttn_ParOper_6,-61.7778,-43.8704,31.0370
240,7Networks_LH_SalVentAttn_ParOper_7,-58.9794,-18.7629,30.5361
241,7Networks_LH_SalVentAttn_ParOper_8,-61.2390,-36.1366,33.6000
242,7Networks_LH_SalVentAttn_ParOper_9,-63.9151,-26.9245,34.6132
243,7Networks_LH_SalVentAttn_TempOcc_1,-56.5546,-57.1092,13.9496
244,7Networks_LH_SalVentAttn_TempOcc_2,-48.8056,-50.8611,12.9444
245,7Networks_LH_SalVentAttn_FrOper_1,-36.5455,5.6364,-15.8182
246,7Networks_LH_SalVentAttn_FrOper_2,-38.9537,0.9444,-9.3889
247,7Networks_LH_SalVentAttn_FrOper_3,-37.5172,10.0920,-1.2874
248,7Networks_LH_SalVentAttn_FrOper_4,-40.8358,-9.8209,-9.5821
249,7Networks_LH_SalVentAttn_FrOper_5,-34.7027,29.5946,-0.8378
250,7Networks_LH_SalVentAttn_FrOper_6,-45.9012,-12.4198,-4.5432
251,7Networks_LH_SalVentAttn_FrOper_7,-31.5098,19.6863,3.3725
252,7Networks_LH_SalVentAttn_FrOper_8,-39.1875,-2.1125,1.6875
253,7Networks_LH_SalVentAttn_FrOper_9,-38.6667,-15.4889,2.6556
254,7Networks_LH_SalVentAttn_FrOper_10,-32.7500,25.7778,7.3889
255,7Networks_LH_SalVentAttn_FrOper_11,-31.5682,13.3409,10.2500
256,7Networks_LH_SalVentAttn_FrOper_12,-36.0952,-2.9143,9.8095
257,7Networks_LH_SalVentAttn_FrOper_13,-37.4648,18.5634,7.9718
258,7Networks_LH_SalVentAttn_FrOper_14,-38.2133,6.2400,10.5600
259,7Networks_LH_SalVentAttn_FrOper_15,-37.5172,-3.8621,16.5517
260,7Networks_LH_SalVentAttn_FrOper_16,-43.0476,12.8571,1.9286
261,7Networks_LH_SalVentAttn_FrOper_17,-44.0645,-2.0323,12.1935
262,7Networks_LH_SalVentAttn_FrOper_18,-45.9091,6.9318,1.2500
263,7Networks_LH_SalVentAttn_FrOper_19,-47.7885,-3.4615,6.5192
264,7Networks_LH_SalVentAttn_FrOper_20,-53.8105,5.8947,1.4947
265,7Networks_LH_SalVentAttn_FrOper_21,-58.0270,1.5946,7.5676
266,7Networks_LH_SalVentAttn_FrOper_22,-55.0080,8.1120,11.9520
267,7Networks_LH_SalVentAttn_FrOper_23,-58.6667,5.3913,16.8116
268,7Networks_LH_SalVentAttn_PFCl_1,-29.7765,41.8436,30.5419
